Saranpaul,Saranpaul,64.2600,60.9083,Russia,RU,RUS,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,,2985,1643184738,2862
Nuuk,Nuuk,64.1750,-51.7333,Greenland,GL,GRL,Sermersooq,primary,18326,1304028354,2872
Reykjavík,Reykjavik,64.1475,-21.9350,Iceland,IS,ISL,,primary,128793,1352327190,2875
Trondheim,Trondheim,63.4400,10.4000,Norway,NO,NOR,Sør-Trøndelag,minor,183378,1578633461,2953
Noyabrsk,Noyabrsk,63.2017,75.4517,Russia,RU,RUS,Yamalo-Nenetskiy Avtonomnyy Okrug,,106879,1643340196,2980
Umeå,Umea,63.8285,20.2706,Sweden,SE,SWE,Västerbotten,admin,90412,1752273881,2910
Vaasa,Vaasa,63.1000,21.6167,Finland,FI,FIN,Pohjanmaa,admin,67619,1246734710,2991
Kokkola,Kokkola,63.8376,23.1320,Finland,FI,FIN,Keski-Pohjanmaa,admin,47570,1246041998,2909
Östersund,Ostersund,63.1775,14.6414,Sweden,SE,SWE,Jämtland,admin,46178,1752026711,2983
Steinkjer,Steinkjer,64.0147,11.4942,Norway,NO,NOR,Nord-Trøndelag,admin,12985,1578642047,2889
Ukhta,Ukhta,63.5667,53.7000,Russia,RU,RUS,Komi,,97087,1643005165,2939
Kópavogur,Kopavogur,64.1119,-21.9000,Iceland,IS,ISL,,,34140,1352411842,2879
Örnsköldsvik,Ornskoldsvik,63.2940,18.7122,Sweden,SE,SWE,Västernorrland,minor,27749,1752250773,2970
Hafnarfjörður,Hafnarfjordhur,64.0667,-21.9500,Iceland,IS,ISL,,,28703,1352845977,2884
Sosnogorsk,Sosnogorsk,63.5833,53.9333,Russia,RU,RUS,Komi,,26670,1643361228,2937
Segezha,Segezha,63.7415,34.3222,Russia,RU,RUS,Kareliya,,26666,1643971245,2920
Stjørdal,Stjordal,63.4750,11.1708,Norway,NO,NOR,Nord-Trøndelag,minor,24145,1578420419,2949
Iisalmi,Iisalmi,63.5611,27.1889,Finland,FI,FIN,Pohjois-Savo,minor,21945,1246230947,2940
Siilinjärvi,Siilinjarvi,63.0750,27.6600,Finland,FI,FIN,Pohjois-Savo,minor,21794,1246336548,2994
Jakobstad,Jakobstad,63.6667,22.7000,Finland,FI,FIN,Pohjanmaa,minor,19436,1246775062,2928
Beloyarskiy,Beloyarskiy,63.7167,66.6667,Russia,RU,RUS,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,,19542,1643836632,2923
Korsholm,Korsholm,63.1125,21.6778,Finland,FI,FIN,Pohjanmaa,minor,19302,1246225569,2990
Onega,Onega,63.9167,38.0833,Russia,RU,RUS,Arkhangel’skaya Oblast’,,19030,1643716527,2900
Kristiansund,Kristiansund,63.1105,7.7279,Norway,NO,NOR,Møre og Romsdal,minor,18273,1578717143,2990
Kauhava,Kauhava,63.1014,23.0639,Finland,FI,FIN,Etelä-Pohjanmaa,minor,16784,1246180633,2991
Keflavík,Keflavik,64.0000,-22.5819,Iceland,IS,ISL,Suðurnes,,16463,1352901945,2891
Garðabær,Gardhabaer,64.0833,-22.0000,Iceland,IS,ISL,,,16299,1352650773,2882
Ylivieska,Ylivieska,64.0722,24.5375,Finland,FI,FIN,Pohjois-Pohjanmaa,minor,15039,1246367983,2883
Verdal,Verdal,63.7922,11.4817,Norway,NO,NOR,Nord-Trøndelag,minor,14948,1578893544,2914
Malvik,Malvik,63.3728,10.7508,Norway,NO,NOR,Sør-Trøndelag,,14148,1578696010,2961
Lieksa,Lieksa,63.3167,30.0167,Finland,FI,FIN,Pohjois-Karjala,minor,11772,1246128959,2967
Pedersöre,Pedersore,63.6000,22.7917,Finland,FI,FIN,Pohjanmaa,,11084,1246231936,2936
Vilyuysk,Vilyuysk,63.7500,121.6167,Russia,RU,RUS,Sakha (Yakutiya),,11095,1643430483,2919
Nivala,Nivala,63.9292,24.9778,Finland,FI,FIN,Pohjois-Pohjanmaa,minor,10876,1246609695,2899
Sotkamo,Sotkamo,64.1333,28.3833,Finland,FI,FIN,Kainuu,minor,10523,1246600504,2876
Levanger,Levanger,63.7464,11.2996,Norway,NO,NOR,Nord-Trøndelag,minor,10333,1578010304,2919
Vuktyl,Vuktyl,63.8667,57.3167,Russia,RU,RUS,Komi,,10017,1643046290,2906
Alajärvi,Alajarvi,63.0000,23.8167,Finland,FI,FIN,Etelä-Pohjanmaa,minor,10006,1246799974,3002
Lapinlahti,Lapinlahti,63.3667,27.3833,Finland,FI,FIN,Pohjois-Savo,minor,9982,1246095473,2961
Nyurba,Nyurba,63.2833,118.3333,Russia,RU,RUS,Sakha (Yakutiya),,9786,1643555326,2971
Kuhmo,Kuhmo,64.1250,29.5167,Finland,FI,FIN,Kainuu,minor,8806,1246485252,2877
Kiuruvesi,Kiuruvesi,63.6528,26.6194,Finland,FI,FIN,Pohjois-Savo,minor,8600,1246969515,2930
Laihia,Laihia,62.9764,22.0111,Finland,FI,FIN,Pohjanmaa,minor,8090,1246333850,3005
Nurmes,Nurmes,63.5444,29.1333,Finland,FI,FIN,Pohjois-Karjala,minor,7996,1246620108,2942
Nykarleby,Nykarleby,63.5167,22.5333,Finland,FI,FIN,Pohjanmaa,minor,7564,1246463530,2945
Haapajärvi,Haapajarvi,63.7486,25.3181,Finland,FI,FIN,Pohjois-Pohjanmaa,minor,7438,1246579975,2919
Haapavesi,Haapavesi,64.1375,25.3667,Finland,FI,FIN,Pohjois-Pohjanmaa,minor,7167,1246025135,2876
Selfoss,Selfoss,63.9322,-21.0002,Iceland,IS,ISL,Suðurland,,6878,1352214400,2899
Vörå,Vora,63.1333,22.2500,Finland,FI,FIN,Pohjanmaa,minor,6714,1246308362,2987
Kronoby,Kronoby,63.7250,23.0333,Finland,FI,FIN,Pohjanmaa,minor,6682,1246844491,2922
Viitasaari,Viitasaari,63.0750,25.8597,Finland,FI,FIN,Keski-Suomi,minor,6666,1246824064,2994
Rissa,Rissa,63.6556,10.0397,Norway,NO,NOR,Sør-Trøndelag,minor,6644,1578239109,2929
Melhus,Melhus,63.2856,10.2781,Norway,NO,NOR,Sør-Trøndelag,minor,6517,1578189830,2971
Nilsiä,Nilsia,63.2042,28.0833,Finland,FI,FIN,Pohjois-Savo,,6499,1246715775,2980
Verkhnevilyuysk,Verkhnevilyuysk,63.4506,120.2983,Russia,RU,RUS,Sakha (Yakutiya),,6329,1643968444,2952
